dependent.var,repeat.var.value,population.group,numbers
ws1b_iii,rafah,all,0.067659189
ws1b_iii,north_gaza,all,0.021678014
ws1b_iv,khan_yunis,all,0.000453042
ws1b_iv,deir_balah,all,0.002879551
ws1b_iv,gaza,all,6.28E-05
ws1b_iv,rafah,all,0.000319321
ws1b_iv,north_gaza,all,0.004872211
w3,khan_yunis,all,0.728012113
w3,deir_balah,all,0.894715473
w3,gaza,all,0.827595221
w3,rafah,all,0.792817312
w3,north_gaza,all,0.868231908
w3a,khan_yunis,all,0.942323351
w3a,deir_balah,all,0.974041237
w3a,gaza,all,0.876319689
w3a,rafah,all,0.959608008
w3a,north_gaza,all,0.949060543
w4,khan_yunis,all,0.86891058
w4,deir_balah,all,0.783788496
w4,gaza,all,0.951170545
w4,rafah,all,0.985507665
w4,north_gaza,all,0.910999409
w4_i,khan_yunis,all,0.13108942
w4_i,deir_balah,all,0.216211504
w4_i,gaza,all,0.009632892
w4_i,rafah,all,0.014492335
w4_i,north_gaza,all,0.089000591
w4_ii,khan_yunis,all,0.211964996
w4_ii,deir_balah,all,0.111460233
w4_ii,gaza,all,0.171396161
w4_ii,rafah,all,0.311470714
w4_ii,north_gaza,all,0.059275445
w4_iii,khan_yunis,all,0.411969268
w4_iii,deir_balah,all,0.422268232
w4_iii,gaza,all,0.15512627
w4_iii,rafah,all,0.452376914
w4_iii,north_gaza,all,0.481640548
w4_iv,khan_yunis,all,0.198727895
w4_iv,deir_balah,all,0.292517141
w4_iv,gaza,all,0.668342755
w4_iv,rafah,all,0.431003407
w4_iv,north_gaza,all,0.22789161
w4_v,khan_yunis,all,0.100056037
w4_v,deir_balah,all,0.114792159
w4_v,gaza,all,0.084807946
w4_v,rafah,all,0.103287072
w4_v,north_gaza,all,0.21255284
w4_vi,khan_yunis,all,0.222366859
w4_vi,deir_balah,all,0.054951071
w4_vi,gaza,all,0.004934362
w4_vi,rafah,all,0.330715942
w4_vi,north_gaza,all,0.423727678
w4_vii,khan_yunis,all,0.00186552
