dependent.var,repeat.var.value,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers
fl2_iii,deir_balah,female_headed,0.013388178,male_headed,0.022101647,refugees,0.01827107,non_refugees,0.03545931,in_camp_refugee,0.020992261,out_camp_refugee,0.016740429,NA,0.020735536
fl2_iii,gaza,female_headed,0.001660405,male_headed,0.060000978,refugees,0.073209382,non_refugees,0.032174664,in_camp_refugee,0.106557377,out_camp_refugee,0.069184573,NA,0.055023278
fl2_iii,rafah,female_headed,0.01165739,male_headed,0.025515454,refugees,0.026364156,non_refugees,0.005704606,in_camp_refugee,0.03125,out_camp_refugee,0.02532153,NA,0.024063963
fl2_iii,north_gaza,female_headed,0.031420424,male_headed,0.035034228,refugees,0.017124408,non_refugees,0.080449686,in_camp_refugee,0.030075188,out_camp_refugee,0.014174453,NA,0.034690926
fl2_iv,khan_yunis,female_headed,0.734046213,male_headed,0.779299634,refugees,0.766581459,non_refugees,0.78681736,in_camp_refugee,0.782258065,out_camp_refugee,0.763303396,NA,0.773920303
fl2_iv,deir_balah,female_headed,0.697144577,male_headed,0.783109667,refugees,0.769754168,non_refugees,0.768901663,in_camp_refugee,0.808712413,out_camp_refugee,0.747840572,NA,0.769631935
fl2_iv,gaza,female_headed,0.566016054,male_headed,0.677571078,refugees,0.641058705,non_refugees,0.701968135,in_camp_refugee,0.827868852,out_camp_refugee,0.618512365,NA,0.668053047
fl2_iv,rafah,female_headed,0.833851547,male_headed,0.848643095,refugees,0.835180644,non_refugees,0.94218084,in_camp_refugee,0.8203125,out_camp_refugee,0.838353469,NA,0.847093832
fl2_iv,north_gaza,female_headed,0.792951716,male_headed,0.809344508,refugees,0.808291265,non_refugees,0.8064743,in_camp_refugee,0.751879699,out_camp_refugee,0.821140807,NA,0.807787236
fl2_v,khan_yunis,female_headed,0.008915122,male_headed,0.019072243,refugees,0.017788526,non_refugees,0.017998988,in_camp_refugee,0.024193548,out_camp_refugee,0.016449202,NA,0.017864853
fl2_v,deir_balah,female_headed,0.019815145,male_headed,0.012173608,refugees,0.012642218,non_refugees,0.017729655,in_camp_refugee,0.019850419,out_camp_refugee,0.008587682,NA,0.013371659
fl2_v,gaza,female_headed,0.00332081,male_headed,0.020204771,refugees,0.020696838,non_refugees,0.016336095,in_camp_refugee,0.06557377,out_camp_refugee,0.015280587,NA,0.018764208
fl2_v,rafah,female_headed,0,male_headed,0.00268413,refugees,0.002704059,non_refugees,0,in_camp_refugee,0.0078125,out_camp_refugee,0.001613931,NA,0.002402995
fl2_v,north_gaza,female_headed,0.001136771,male_headed,0.012711302,refugees,0.008233743,non_refugees,0.02041108,in_camp_refugee,0.007518797,out_camp_refugee,0.008396594,NA,0.011611752
fl2_vi,khan_yunis,female_headed,0.005103926,male_headed,0.040718686,refugees,0.025349106,non_refugees,0.056055192,in_camp_refugee,0,out_camp_refugee,0.030649741,NA,0.036485115
fl2_vi,deir_balah,female_headed,0,male_headed,0.011987934,refugees,0.010765923,non_refugees,0.006180417,in_camp_refugee,0.013637519,out_camp_refugee,0.009150681,NA,0.010108448
fl2_vi,gaza,female_headed,0,male_headed,0.026887957,refugees,0.031166499,non_refugees,0.016336095,in_camp_refugee,0.057377049,out_camp_refugee,0.028003117,NA,0.024593839
fl2_vi,rafah,female_headed,0,male_headed,0.022171179,refugees,0.022335798,non_refugees,0,in_camp_refugee,0.015625,out_camp_refugee,0.023767866,NA,0.019848975
fl2_vi,north_gaza,female_headed,0.049746123,male_headed,0.018228194,refugees,0.016715319,non_refugees,0.032962516,in_camp_refugee,0,out_camp_refugee,0.020522769,NA,0.021222314
